Image,Final patch,Outcome,Analyzer OP,Time in s
Unidata-netcdf4-python-356451404.failed.log,netcdftime==1.0.0a2,Exhausted all options,FALSE,672.436379
Unidata-netcdf4-python-356451404.passed.log,netcdftime==1.0.0a2,Exhausted all options,FALSE,639.284384
getslash-slash-319194091.failed.log,,Exhausted all options,FALSE,300.516502
getslash-slash-319194091.passed.log,,Exhausted all options,FALSE,469.195946
paramiko-paramiko-299944105.failed.log,semantic_version==2.6.0,Restored to original error,TRUE,448.287901
paramiko-paramiko-299944105.passed.log,semantic_version==2.6.0,Successfully fixed build,TRUE,543.378869
Charcoal-SE-SmokeDetector-398545910.failed.log,,Exhausted all options,FALSE,5.22895861
Charcoal-SE-SmokeDetector-398545910.passed.log,,Exhausted all options,FALSE,5.67146993
joblib-joblib-299740779.failed.log,pyparsing==2.0.2,No longer recognized as a dependency error,FALSE,383.37519
joblib-joblib-299740779.passed.log,pyparsing==2.0.2,No longer recognized as a dependency error,FALSE,266.44623
scikit-learn-scikit-learn-424798793.failed.log,scipy==1.1.0 Cython==0.28.5,Restored to original error,TRUE,1679.9456
scikit-learn-scikit-learn-424798793.passed.log,scipy==1.1.0 Cython==0.28.5,Successfully fixed build,FALSE,1642.97837
numpy-numpy-105433444.failed.log,setuptools==19.6 nose==1.3.7,Restored to original status,TRUE,928.598968
numpy-numpy-105433444.passed.log,setuptools==19.6,Successfully fixed build,TRUE,489.202859
zimmerman-zimmerman-OIPA-91222724.failed.log,watchdog==0.8.3 factory-boy==2.6.0 coveralls==1.1,Restored to original status,TRUE,1963.54091
zimmerman-zimmerman-OIPA-91222724.passed.log,watchdog==0.8.3 factory-boy==2.6.0 YubiOTP==0.2.1 sqlparse==0.1.18,Exhausted all options,FALSE,6523.45927